name,id,text
White Horse Tavern & Restaurant,aK_4VuHnDlanajeTI77qqQ,"I love this place,  but please don't say kitchen is open 5-11pm on the weekends and be closed at 10pm, big difference."
Dunya Bistro,vvubENH1s-YoZ-sjLWtQMg,This place rocks!!! Whether coming for brunch or wine and appetizers or dinner this place is great. Great ambiance and attentive service on top of delicious...
Dunya Bistro,vvubENH1s-YoZ-sjLWtQMg,"The was the worst service I've had at a restaurant in perhaps 15 (?) or 20 (?) years. Yes. It really was that bad. 

With one waiter working during happy..."
Dunya Bistro,vvubENH1s-YoZ-sjLWtQMg,A fun little Mediterranean Bistro/ Wine Bar in the heart of San Francisco's Polk Gulch neighborhood? Consider me sold! I came to Dunya Bistro to meet up...
Cocola Bakery,zL1cB0Z5mBeEqC17UObRYQ,"First time here. It's a Wednesday afternoon, not many people here. Servers were nice and willing to answer questions. 

Hazelnut cake was very good!"
Cocola Bakery,zL1cB0Z5mBeEqC17UObRYQ,Perfectly made fruit tart! So sweet. Great location just before you leave the mall. Cute tables too!
Cocola Bakery,zL1cB0Z5mBeEqC17UObRYQ,"This review is not for their food.
It is for their service. I have been getting their cake for years. 
But what I experienced today was totally..."
Nick's Crispy Tacos,ziVej4oW2JpUConTE_Y_mg,"San Francisco is a haven for great Mexican fares and Nick's Crispy Tacos is no exception! 

The interior is adorned with red velvet booths and crystal..."
Nick's Crispy Tacos,ziVej4oW2JpUConTE_Y_mg,"Although the food and service here were good, the cleanliness and cash-only payment system detracted from our overall experience.

A bar and taco joint, you..."
Nick's Crispy Tacos,ziVej4oW2JpUConTE_Y_mg,"Go to a taco truck or anywhere else for more flavorful and cheaper tacos!The tacos here were dry, not very filling and just a little sad. The redeeming..."
Trattoria Pinocchio,1hkvOkD9MZINKlDzIweByw,"Food  were great  they have magnetita pizza  fresh from the oven that is simple but really good .
Alio óleo  spaghetti was super Italian  that was savory..."
Trattoria Pinocchio,1hkvOkD9MZINKlDzIweByw,"Visited on a Saturday night around 730 and was seated immediately. 

Our server Zabit was so charming had great recommendations. We ordered spaghetti..."
Trattoria Pinocchio,1hkvOkD9MZINKlDzIweByw,"I came here for my dinner with my aunt in law 
We were party of 4 
The sitting and table felt small for party of 4. 
I was a little worried cuz this place..."
Small Foods,jDka56EYw8ZdrAEqMxROCQ,I can't say I was surprised to see that this place closed. The writing was on the wall as early as seeing their second downtown location go under after...
Small Foods,jDka56EYw8ZdrAEqMxROCQ,Small foods is missed already!! Loved working there. Thanks Bruce for the year of work. Hope good things are in the future.
Small Foods,jDka56EYw8ZdrAEqMxROCQ,Poor service. Selection of food is good.  I felt like I was a burden just waiting to pay for the food.
Martita Restaurant,7s_cy5GHZmMX3nlJe6qSLQ,Oh Martitas!! You're my new favorite pupusa spot!!We went here 2 weeks ago on a Sunday afternoon and we ordered several different types of pupusas. A lot of...
Martita Restaurant,7s_cy5GHZmMX3nlJe6qSLQ,Went for pick up on a Sunday morning. I ordered chicharon con queso pupusas they were ok. Not enough queso or chicharon. Overall they were good service was...
Martita Restaurant,7s_cy5GHZmMX3nlJe6qSLQ,"Try this place out!!  Just had pupusas and horchata Salvadorian style they have ahome made taste you can feel the experience in the food, and the years in..."
Manila Oriental Market,KTCJ3-cYhFVENTUIBAzpQw,"I am kicking myself because I have been living about 7 minutes drive from this market for the last 5 years and had never known it was there. Today, I went..."
Manila Oriental Market,KTCJ3-cYhFVENTUIBAzpQw,"A good sized Asian-specialty grocery store but prices are higher than their counterparts, at least for crabs. Cost was $8.99/lb on 19OCT18, whereas it was..."
Manila Oriental Market,KTCJ3-cYhFVENTUIBAzpQw,Staff is rude and also don't listen when you ask to pay debit. There's a nice Ethiopian man that works with the meat/seafood. Other than that if you don't...
San Bruno Supermarket,Y5scm_Y8MijSKpp350jKLQ,"This place is incredible, they have stuff you'll never find anywhere else. Staff is not as helpful because they don't care about you, go look for stuff on..."
San Bruno Supermarket,Y5scm_Y8MijSKpp350jKLQ,Meh. It's an okay supermarket. They check bags and the vegetables were okay. There is parking in the lot so I guess that makes it better?
San Bruno Supermarket,Y5scm_Y8MijSKpp350jKLQ,"It's so dirty in the parking lot and inside. Don't know how their meat and seafood section in the back passes health inspections. That said, this store is..."
Foods Co,WVwNFQ2EwJBN_Wrxnps7UA,They make things affordable! We love getting fruits and meat here. Their organic section is very small and they're not usually that fresh. If you get a...
Foods Co,WVwNFQ2EwJBN_Wrxnps7UA,"This place is the closest grocery store to my apartment.
It is okay but I would prefer a Trader Joe's any time over this one but propably cause I am..."
Foods Co,WVwNFQ2EwJBN_Wrxnps7UA,Cheap goods (both in price and quality) but they sell handles of liquor and packs of smokes for less than anywhere else around. Produce is marginally...
Taqueria El Farolito,32DgQWrJoAA71NyFUzimHA,I needed Mexican food and didn't have time to go to the Mission. Luckily El Farolito has this location in North Beach. Though it's not as good as the...
Taqueria El Farolito,32DgQWrJoAA71NyFUzimHA,Came here for a quick bite to eat with a few friends and this place was packed! There was a line out the door! So you know I had some high expectations! I...
Taqueria El Farolito,32DgQWrJoAA71NyFUzimHA,Hubby and I are always on the hunt for different places to eat when in San Francisco and after doing a Google search it brought us to Taqueria El Farolito....
Lee's Deli,LqcRYWDVQ5XF0tzTtkZ7zA,The food here honestly isn't great. But Lee's deserves 4 stars for having a dim sum buffet available for breakfast. Where else can you get siu mai and fried...
Lee's Deli,LqcRYWDVQ5XF0tzTtkZ7zA,"After being a lifelong faithful lees deli customer, I decided to stop going.  I even kept going after I saw bugs in the food area. Disgusting!!! I decided..."
Lee's Deli,LqcRYWDVQ5XF0tzTtkZ7zA,"If you don't care how much your disgusting food will be eat here. 

This place is highway robbery when it come to the price of their food vs the taste. I am..."
Tony's Cable Car Restaurant,LOnMdHbYlpkRy0T2lf28fw,"It was the first time I was there and it was definitely pretty good. I don't give many places a 5 star rating, but this place is definitely pretty good.

I..."
Tony's Cable Car Restaurant,LOnMdHbYlpkRy0T2lf28fw,"1/4 banconburger , shrimp&ships, egg muffin to eat there were a good experience for my girl and i the place is keep clean the amigo on service was on point..."
Tony's Cable Car Restaurant,LOnMdHbYlpkRy0T2lf28fw,I've reviewed before but felt it was time for an update just to reiterate how much in love I am with this place. I dont get there very often so it truly is...
El Chico Produce No 2,I002H5kRDi71SjvahjbZ5w,"Still amazing.

A few updates--
* Be sure to look at the shelves below the waist-level -- there are so many things you might miss (i.e. corn tortillias,..."
El Chico Produce No 2,I002H5kRDi71SjvahjbZ5w,Excellent produce selection. Everything looked fresh and the staff was friendly. Picked up a few things but plan to make this a regular stop as my...
El Chico Produce No 2,I002H5kRDi71SjvahjbZ5w,"Not a good market, poor produce, unclean, and got bad directions from the checker. Would not reccomend or come back. Uncleanliness is never ok when there's..."
Han Il Kwan,eBxkmr-hJ2KgpZQzEO3ArQ,Overall: I recommend stopping by for dinner with a pre-made reservation and not wearing anything that you don't mind getting a little smelly. Good food and...
Han Il Kwan,eBxkmr-hJ2KgpZQzEO3ArQ,"I've been coming here for 15 years now and my most recent meal was just as good as my first meal here. Hands down, this is the best option for KBBQ in San..."
Han Il Kwan,eBxkmr-hJ2KgpZQzEO3ArQ,"Great spot for Korean BBQ! 

We came in with a group of 8, and this place is definitely made to serve those kinds of groups.

Their banchan is great, and..."
Barbacco,Wd5ho0_FKk9n7uV8pSCYIg,"Barbacco is a great find in SF's FiDi. We came on a Saturday night at 7:30 with a group of 8 people and were seated immediately.

I didn't have my typical..."
Barbacco,Wd5ho0_FKk9n7uV8pSCYIg,Let me say this about Barbacco. It used to be my go to place for bringing business clients or out of town relatives. I moved out out town and came back...
Barbacco,Wd5ho0_FKk9n7uV8pSCYIg,"I would give Babacco a 4 1/2 stars overall for food, excellent service, atmosphere and value.

We ordered meatballs, shrimp pasta, orecchiette pasta and the..."
The Connection,an7BKIlXd-UPfdeFCImDqA,"Great Neighbor""Hood"" spot.  Been there for years.  A real neighborhood staple.  Easy to get to.  Great food.."
The Connection,an7BKIlXd-UPfdeFCImDqA,"I've been wanting to check this place out for a long time since it is close to my house. I am glad that i finally did - it is a cozy, clean, well organized..."
The Connection,an7BKIlXd-UPfdeFCImDqA,I like this spot. Nice and cozy and exactly what you expect from a dive bar. Cheap drinks and friendly attentive service. They got a pool table and a couple...
Mela Tandoori Kitchen,6KASBgDLNL7tYGj3Z-I1JQ,"I really wanted to give this place 5 stars. The food was so good I want to go back already. However, here are the things holding it back from 5 stars. 1)..."
Mela Tandoori Kitchen,6KASBgDLNL7tYGj3Z-I1JQ,"I have been here more than 20 times so I think I'm qualified to give my opinion 

1) The main and only reason that I'm not giving this place five stars is..."
Mela Tandoori Kitchen,6KASBgDLNL7tYGj3Z-I1JQ,"I really love this place
Most time i go with my friends 
V good food so yammy desert too we love to sit up stairs nice relaxing nice music too 
The service..."
Kitchen Story,XQLmEdXoMzOpffwoFaBtaQ,"Absolutely shook at this place!! Came around 12:30 on a Saturday thinking it'd be a longass wait but we only waited about 15 minutes. Bless. 

The interior..."
Kitchen Story,XQLmEdXoMzOpffwoFaBtaQ,My friends and I came here at 10am on a Sat and we were able to sit down without waiting long (5ppl and only 15-20mins tops for wait time). We even got to...
Kitchen Story,XQLmEdXoMzOpffwoFaBtaQ,"came here three times, once for anniversary dinner and twice for brunch with friends. 

The food has never disappointed me. The presentation is always..."
Kirin Chinese Restaurant,7-dTTiS53rgn0SdqczzAIQ,"Delicious Chinese food (I think Cantonese style). It's not the cheapest Chinese food you can get, but it is one of the most delicious in my neighborhood! I..."
Kirin Chinese Restaurant,7-dTTiS53rgn0SdqczzAIQ,There were ten of us for a ten course banquet. I wasn't a fan of the ginger crab or the crab and mushroom soup but everyone else raved  about it. The salted...
Kirin Chinese Restaurant,7-dTTiS53rgn0SdqczzAIQ,"3.5 stars for food
3 stars for cleanliness

I really enjoyed the winter melon soup and loved the presentation.  I like that they have the giant clams and..."
Coi,HG5cvtfUcpMojb2RyB2ZJQ,I've eaten my way through over 100 Michelin Stars and my experience at Coi sits in the top 3. I've worked as a chef for many years and always wanted to go....
Coi,HG5cvtfUcpMojb2RyB2ZJQ,"Who is Anthony Bourdain and why does everyone care about him? I shortly found why he was beloved by many after binging his show (slowly)... and that, led me..."
Coi,HG5cvtfUcpMojb2RyB2ZJQ,"I returned to Coi last night with some girl friends who had never been. My last visit was September 2014 under Daniel Patterson, so I knew that I could..."
Dragon City Bakery & Cafe,cceVsCxlAR3VaME_T3x6tQ,4 star for the lady who helped me pick out chocolate cake but outside was pure white with lots of creamed flower.  Frosting inside was nice and dense....
Dragon City Bakery & Cafe,cceVsCxlAR3VaME_T3x6tQ,"You're the next contestant on, the price is right! The mini eclairs come at the low price of two for $1.20. I bought a bag full and it was the first tray..."
Dragon City Bakery & Cafe,cceVsCxlAR3VaME_T3x6tQ,"There isn't anything special about this bakery except for the cocktail bun, which is a mix of coconut and custard.  All the other buns are common and..."
China Express,RtXDJgw6ts1TAv9mwFNZGg,"Nastyyyy! 

Donut Holes: 1 out of 5
Bear Claw: 2 out of 5
Coffee:  0 out of 5

Note: I came in around 4pm so I might've just gotten an old batch. Still,..."
China Express,RtXDJgw6ts1TAv9mwFNZGg,Prices are high now 9.95 for three items on mission you can't get no higher than that . I can get real quality meat combos for that . Egg Foo young is good...
China Express,RtXDJgw6ts1TAv9mwFNZGg,"I live in the area and was taqueria'd out so I decided to give this place a try. 

It's steam table Chinese food which is always hit or miss. I wasn't blown..."
Mission Cheese,ntct3hvX_ona00m1BC0Xtw,"Amazing cute little place for perfect time spending. It's priceless for warm evenings! 
Take advantage of events and special deals they have pretty often."
Mission Cheese,ntct3hvX_ona00m1BC0Xtw,"Came here last Saturday because me and my friends were craving munchies and I must say, this place did NOT disappoint. THIS is the place for you if you are..."
Mission Cheese,ntct3hvX_ona00m1BC0Xtw,"A very casual counter service wine and cheese bar.  Pretty intimate inside, but a good amount of outdoor seating.  Hits the right spot for when you want to..."
Tadich Grill,WxxE5kE8omgQhJE8sWIvmA,"We came to San Francisco with one mission- eat ALL the seafood! In particular we wanted to try cioppino, an Italian fish stew with clams, mussels, lobster,..."
Tadich Grill,WxxE5kE8omgQhJE8sWIvmA,"Old school and delicious!  Had martinis, calamari and crab cake apps at the bar while waiting for our table. Waited about 30 minutes on a nice Wednesday..."
Tadich Grill,WxxE5kE8omgQhJE8sWIvmA,"I can't say enough how much I love this place. Get the cioppino- I am sure their other dishes are good, too. However, the cioppino is amazing! 

The..."
Catch,b7YegTB6cWpi0XbI9ZEkBQ,"Simply the best place in the Castro to have a great seafood (or steak) dinner! 

I love to frequent this restaurant for many reasons. One of course is the..."
Catch,b7YegTB6cWpi0XbI9ZEkBQ,As good as it was when it first opened. Both the Restaurant and the Chef have kept up with the changing times in regard to food trends and have kept it...
Catch,b7YegTB6cWpi0XbI9ZEkBQ,"who ever answered the phone at 7:10PM on 5/11/19 needs an attitude check!!
called and told them it's for pick up & mind you I didn't know that they..."
Cha-Ya,29lhGyTOtiWGkLCWDJZZFg,"Wonderful experience! I came to Cha-Ya with my mom, dad, and sister for lunch at approximately noon on Sunday. My mom is strictly Buddhist vegan (in..."
Cha-Ya,29lhGyTOtiWGkLCWDJZZFg,"This place totally hit the spot! I had not eaten anything all day while traveling to San Fran, and I already had a few drinks in me, so I was ready to plow..."
Cha-Ya,29lhGyTOtiWGkLCWDJZZFg,"I'm fine with food being expensive if it's delicious. I'm fine with food being vegetarian or vegan if it's delicious. Cha Ya was not delicious.

I ordered..."
Cafe Bunn Mi,Ep3VtYXc-wvSAp8SaEGa_Q,"What I've gotten:
Pork combination
Crispy duck

What I thought:
I've been here twice now. Got the pork combination (or dac biet) the first time, and the..."
Cafe Bunn Mi,Ep3VtYXc-wvSAp8SaEGa_Q,Stopped at this Bay Area Richmond  Vietnamese cafe. Ordered a Five Spice Chicken sandwich. I did not notice the Jalapeno in the ingredients. Not a regular...
Cafe Bunn Mi,Ep3VtYXc-wvSAp8SaEGa_Q,"Been craving some good banh mi and just haven't found one in the city that can match the banh mi's I find back home in SoCal, but this place hit the..."
Borobudur Restaurant,VZwe5P-at3JYNCxOVSfe-g,The food is great! One of the few Indonesian restaurants in the area. I recommend the roti. Freshly made. I did not find the service that slow. It might not...
Borobudur Restaurant,VZwe5P-at3JYNCxOVSfe-g,"As others have said before, the simplest way to summarize this restaurant is that the food is GREAT, but the service is very slow. To note, my friend and I..."
Borobudur Restaurant,VZwe5P-at3JYNCxOVSfe-g,"I grew up in Indonesia and miss Indonesian food a lot, so one of the first things in my to-do list when I go to new places is to look up Indonesian..."
Chipotle Mexican Grill,SQuQ32gVOVsnXrKCOXl0Xw,"I eat here enough that I owe y'all a review. I only order online, and always do some reasonably complex customizations...and this has gone poorly at other..."
Chipotle Mexican Grill,SQuQ32gVOVsnXrKCOXl0Xw,"Walk a little further for another Chipotle in the area.

The last time I came here, my bowl was barely filled, even though I asked for extras like extra..."
Chipotle Mexican Grill,SQuQ32gVOVsnXrKCOXl0Xw,"They need help with making burritos. I know, sounds crazy that a Southwestern restaurant can't even do that right, but I guess that's why there was no line...."
Bread & Butter Market,9tOZHnqFZ-FOB03V0c8t5w,I've been to this Bread & Butter about 3 times this year and each time my total came out to $19. I didn't think anything of it the first time. The second...
Bread & Butter Market,9tOZHnqFZ-FOB03V0c8t5w,$12 is a lot given the sandwich options in the neighborhood and my hot turkey was so salty I ended up picking almost all of it out. I've had some salty...
Bread & Butter Market,9tOZHnqFZ-FOB03V0c8t5w,The most expensive convenience store in San Francisco! Marked up at least 50%+. I live in the area and I swear I will never go back there!
Garden House Cafe,M0xEpdbcmF6iEG7LSST_lQ,"Came here for lunch today for the first time ever. At first, I was a bit hesitant as I didn't feel like just getting another sandwich for lunch but I was..."
Garden House Cafe,M0xEpdbcmF6iEG7LSST_lQ,I really wish there were another place on my drive every morning because I'm over this place. It's just mediocre. If they would do some dusting and perhaps...
Garden House Cafe,M0xEpdbcmF6iEG7LSST_lQ,"Hate to give a less favorable review as I want to support independent neighborhood restaurants, however the sandwiches are skimpily filled, not worth the..."
Safeway,kVICeMDR_X4n-79tGOY7PQ,"I love love love this Safeway.  It's super clean, the shelves are stocked and organized and the staff is courteous and helpful.  The produce dept. rocks...."
Safeway,kVICeMDR_X4n-79tGOY7PQ,This by far is the cleanest Safeway I've ever been to in the entire Bay Area. I've lived in SF to Hayward and travel to random Safeway's when necessary. So...
Safeway,kVICeMDR_X4n-79tGOY7PQ,"Great deli selection.  Great hours opening at 6 am as I am a morning person.  Great cashiers.
     The downfall is the meat department needs to get their..."
Peet's Coffee,Z5G6Va64QQwYBXNpO74nMw,"Great location. Right by Japantown. 
Staff: Really nice and friendly. 
Drink: I ordered the cold brew with 4 pumps of caramel syrup and coconut milk...."
Peet's Coffee,Z5G6Va64QQwYBXNpO74nMw,It's so sad when the barista looks the part and serves a latte that tastes like a burnt piece of wood.  Peet's has been letting me down slowly like a...
Peet's Coffee,Z5G6Va64QQwYBXNpO74nMw,"Disappointed to experience a crowded unsanitary environment. Food all over the floor, guys behind counter fiddling w the trash and then making coffee...."
Grand Coffee,l3CO569of8E_Dw7ITfrqiw,"I've always liked this place a lot, since it opened actually...
The people working here are always very nice and inviting and make the coffee with great..."
Grand Coffee,l3CO569of8E_Dw7ITfrqiw,"Love our hole in the wall mission coffee shops. Walked by after a filling meal but still couldn't resist getting a couple things!

* Seaweed pastry (forgot..."
Grand Coffee,l3CO569of8E_Dw7ITfrqiw,"""We want to do a lot of stuff.... We're not in great shape... We didn't get a good night's sleep... We're a little depressed... Coffee solves all those..."
Five Happiness,ZJeACgKeEPuk3v0UiR9Y_Q,"First time here.

Service was great!

Ordered:
Veggie soup great
Xiaolong bao avg 
Beef noodle soup, beef was great, soup was great, noodle was avg 
Green..."
Five Happiness,ZJeACgKeEPuk3v0UiR9Y_Q,Literally stood at the register for 5 minutes while explaining to the owner(?) that I would like to pay ahead of time so I can go outside and put some more...
Five Happiness,ZJeACgKeEPuk3v0UiR9Y_Q,"Came here with my tour group and I have to say that is a 5 star Chinese restaurant for sure. The service is excellent, but the food...beyond expectations!..."
La Tortilla,EB5Luwg0aGXORbJjIY6syg,"Good flavorful food with friendly staff. I'm not sure why people have put bad reviews. Is the food AMAZING? No, but it's good food nonetheless. In my..."
La Tortilla,EB5Luwg0aGXORbJjIY6syg,"Sad to see this place going down the tubes in quality and service.
The food was always not great but it was eatable. However now it not only fast different..."
La Tortilla,EB5Luwg0aGXORbJjIY6syg,"I've been going to La Tortilla on and off for the past 2 years. Look, this place doesn't hide the fact that it's food isn't freshly made. They have a..."
The Mint,iXR55l9-CqiSUoC_78A26Q,This is a fun Karaoke bar. I really dig the the tv's of the performers above the bar which is on a slightly lower level then the performance area. The Tv's...
The Mint,iXR55l9-CqiSUoC_78A26Q,"TL;DR: 2 drink minimum & cash only. ""You don't drink, we won't let you sing."" Be ready to wait well over an hour to sing if you're not there when they..."
The Mint,iXR55l9-CqiSUoC_78A26Q,"So fun!   We went with a group of 20 for a friend's birthday.

It was just a bit cramped but otherwise fun spot.  Will definitely return!"
Mel's Drive-In,wGRVry4rZaDsAR39NoOiLA,"Service was wonderful and the food was especially good today. We love the short rib sliders, short rib grilled cheese, mozzarella sticks and patty melts!..."
Mel's Drive-In,wGRVry4rZaDsAR39NoOiLA,"Updated:  This is a review from my time at this location about 4 years ago.  Evidently I wrote it and forgot to press ""POST"".

REVIEW:  Worse service I've..."
Mel's Drive-In,wGRVry4rZaDsAR39NoOiLA,Really fun experience. We got a coupon off of Groupon and were able to save some cash. Subscribe to Groupon and occasional they will send you emails with...
Sliders Diner,q9qlhyZVJpyHT0tgEaPxUQ,Entertaining and fun guy at the counter. Showed us the machine which checks counterfeit cash when we asked about the fake $20s taped to the front. We got a...
Sliders Diner,q9qlhyZVJpyHT0tgEaPxUQ,"Gotta give it 5 Yums!!! Yup even though I had a few words with the cook. He got upset when I said i felt my 8oz burger was perhaps ready,(medium rare)...."
Sliders Diner,q9qlhyZVJpyHT0tgEaPxUQ,"I love this place! Sliders is a burger and fries joint. It's nothing special. You can even call it basic, but it's damn good. It's been perfectly cooked..."
Mums Home of Shabu Shabu,KNjay-slya3gi7rw13ifOQ,This is a great place to bring your friends to drink and eat. All you can eat and all you can drink beer and sake. It's a dam good time every time. The beef...
Mums Home of Shabu Shabu,KNjay-slya3gi7rw13ifOQ,I never know it's located at Japantown until my friends bring me there. The soup we got is miso but they are tasteless. We had a buffet dinner. It came with...
Mums Home of Shabu Shabu,KNjay-slya3gi7rw13ifOQ,"Basically right across the street from Japan town, this was the only place open early in the morning.

We came here for breakfast because we stayed at the..."
Hot Sauce and Panko,NwqdohySKrDnK0RsAde9UA,"OoooohhMyyyGoooodddneeeeesssssssssss!!!!!!!! 

This place is HELLLAAA effing GOOD... it's finger licking GOOD!!! this was mine and my boyfriend first time..."
Hot Sauce and Panko,NwqdohySKrDnK0RsAde9UA,"INTERESTING FLAVORS - TINY WINGS - ABRUPT STAFF

I lived across the street from this place for several months and never understood the hype. FINALLY getting..."
Hot Sauce and Panko,NwqdohySKrDnK0RsAde9UA,"Genuinely tasty boutique spot. Large selection of flavors when it comes to the wings, make sure you pick diligently. Got the ""green"" and ""Chris's"" wings and..."
Michael Mina,5I3fM8fRdkJdKL-_BJ1qvw,We had an amazing lunch at Michael Mina.  Chef just released a new tasting menu based on Mediterranean flavors.  All the plates were plated beautifully and...
Michael Mina,5I3fM8fRdkJdKL-_BJ1qvw,"Obviously the service and the atmosphere was amazing, however; the food combinations were just... eh.

We started the meal with the caviar trio (Market..."
Michael Mina,5I3fM8fRdkJdKL-_BJ1qvw,"Absolutely Incredible experience!!!
Thank you Hesoo Chang for making our dining experience very special.
All dishes were presented beautifully and tasted..."
Sakesan Sushi & Bistro,LDqA7rQ3fCmPWFymhIXXcQ,THE best sushi/sashimi/oysters that i have EVER had!!! starting off with price: you can't get fish this fresh and oysters this amazing at this price. All...
Sakesan Sushi & Bistro,LDqA7rQ3fCmPWFymhIXXcQ,Nice ambiance but the sushi is subpar. There were a few good rolls but the price isn't worth it. The service isn't that great either. The actual servers are...
Sakesan Sushi & Bistro,LDqA7rQ3fCmPWFymhIXXcQ,"The food would be 4stars.  The service is 2stars.  

I thought I'd try this place b/c it got good reviews.  I liked the private rooms areas, where you get..."
