name,id,rating,price
Imperial Garden Seafood Restaurant,DMWoU9-aRw78JTfspcdEeQ,2.5,$$
Green Chile Kitchen,z50O47Al64Y6YrLsVmnjpA,3.5,$$
Pasquale's Pizza,VyvrQn7j_YfsxKkFl7T3ww,3.5,$$
Golden Chariot Bakery & Restaurant,r7hzfE40LUC5xRVpzcLjmA,3.5,$
Jade Cafe,-BWzndBhl6FG7oW3F-Zemg,3.0,$
Happy Donuts,mk2WW5bA-0WfQP1Uo17_Sg,3.5,$
Wing Hing,hSLhT8Che055WbkweNi-Ug,3.5,$
,,,
The Beach Chalet Brewery & Restaurant,ReVmLKOsB1BAp9nQAqPL3Q,3.0,$$
Las Isletas Restaurant,UBSuECrkskseP_rHmx1FQw,3.5,$$
Mikaku Restaurant,LhrP1BZLPxJ76dsP2dFRCQ,3.5,$$
Happy Lounge,RHsfz6dolmufnj82bYu-Jg,4.5,$
Super Duper Burgers,zjlwTVZOyCU8OzzUPEavQQ,4.0,$$
Burgermeister,A0kFv8s21h1SUFY9CLIR_w,3.5,$$
Bistro Aix,j1yOqKczaI4czwycWDcspw,4.0,$$
Western Addition Branch Library,zwsxryJyp-WPz5uhxRa7lA,4.0,
77 Chinese & Vietnamese Cuisine,YQl-Fre0Btv_Vi04-1d2hQ,3.0,$
,,,
Delarosa,QQkroHtwS96-dzMpT4a-DA,4.0,$$
WesBurger 'N' More,tjflPf7MTPmSgau-b8CN3A,4.0,$$
Cafe Majestic,XdfyFAmoPZ7_doOxRKFCow,3.5,$$
Roma Pizzeria,x1P8FikDw0WU78m-Hipu3w,2.5,$$
Sunrise Deli,oWxxFD_c5KaRLnjmmmM7oA,3.0,$
Taqueria Los Coyotes,ZAPitG9126yVupKWHp54yA,3.5,$
El Burrito Express,uCeCkdHHeaJnU4hGAe2sJQ,3.5,$
,,,
Whole Foods Market,yQ32-Q3zH1HRZ3E5WAc-oA,3.0,$$$
Burger King,OBxT-XXIELsMODqhQn6YsA,2.5,$
Philz Coffee,akXf1BdFZjQb2fO8Ca7FtA,4.5,$
Last Drop Tavern,eQ0wFQTrHrKDUun-v-hpBg,4.0,$$
Picaro,KRcMsXmeILmC8OXmcXOQgA,4.0,$$
,,,
Green Island Restaurant,u-obmxevldBOidDYkL8J6w,3.5,$
It's Tops Coffee Shop,yBwejh5N36gw4DOt49t3wg,3.5,$$
Spice Kit,ZvF32O9uid0dMyyQcPeYPg,3.5,$
Little Henry's,nWmeuZ8g4hhJOrADh7VFHA,3.0,$$
Red Jade,0w6dNMrpBQFLxhVYqx_J5Q,3.5,$
,,,
Murphy's Pub,P1P-ByAIL4OlqlBTzrVlhg,3.0,$$
Courtney Produce,QDarzSRtDcvfV00djqCnTw,4.5,$
Loi's Vietnamese Restaurant,cV3nOiQbq0o9plia9OSXVQ,3.5,$
Grandehos Kamekyo,iMsButW1ZqSssl_a9-UFXA,4.0,$$
Padrecito,2nXYpojLdnIWkFW-Xe7B2A,4.0,$$
Saffron Grill,El1fNeBVBglXlZtFuq4SWA,4.0,$$
Balboa Teriyaki,VhFuTau6lW--wfMQJJw1VQ,3.5,$$
Tip Top Tapas,5nS6e75tKoRtLjzkAYBSpA,5.0,
Tsunami Panhandle,NBdAqG4Kdqy0BrCrWa0xUg,3.5,$$$
Sugarcane SF,pwD8tWrKVF_Xd9FnabHB9w,4.0,$
Luigi's Pizzeria,DUK4BHniFNUZ4C8K_iXdaw,2.5,$$
,,,
Daily Grill,idI1fL-AsM0nhdIPpHf3sA,3.5,$$
Dragon Beaux,Su1ay8vJyKsHZKQG_eluaA,4.0,$$
Lee's Deli,TDZXy8vev4R3uENpkjY3pg,3.0,$
Glide Memorial Church,Y4-nrUHauQcrH74z430v0g,4.5,
The Plant Café Organic,rR_7mgpw0FmPgrTMJRsmuQ,3.5,$$
Barney's Gourmet Hamburgers,uCvVetBZHmlVPzVrNmQTnw,3.5,$$
New Asia Chinese Restaurant,hPdebXu_37ELCtoDaVuU8g,3.0,$$
85°C Bakery Cafe,1vHIvCblRVD117ghQbyNsQ,3.5,$
VIP Coffee & Cake Shop,xE3LQfzixJfqqQsNt2GTXQ,3.5,$
Victor's,kX8rvvC0RxwW_6-C8wHn-Q,3.5,$
The Little Chihuahua,bNXxYVpi5YvbhVHIi4MLWA,3.5,$$
,,,
Center Cafe,FDpfJsxkExULZt3ipT8hVg,4.5,$
Boston Market,SX63MrpvROHn0QLzhvYkyg,3.0,$
Ajisen Ramen,2WImgWUXjKq0OKhu9hWhOA,3.5,$$
Seniores Pizza,loZXJPwZujUlDE6_wVY7dQ,3.5,$
Benu,q2EbLD93gEO5uXXx7Pk3bw,4.5,$$$$
Pancho Villa Taqueria,UjjNgzBFAVXF3iVXPVjH_Q,4.0,$
El Metate Restaurant,2y2lTn53XJCGFh8lkXJ8OA,4.0,$
Deli World,mcc6jseW0bDjqDf7JT9JDA,4.0,$
China Express Deli,ut4SDYWbW8oRRxDXVDuplQ,2.0,$
Jamber,UF2y6BusFeZMZsGYUVcAaw,4.0,$$
Harvest Urban Market,Lyl7fmCru0IAk0vl96KPfg,2.5,$$$
El Pollo Supremo,cxsx1IG_FKKqORs1f9tfFQ,4.0,$
Rico Pan Bakery Salvadoreno,-rmBT-zlovwbNmEvZKKixA,4.0,$
Players Sports Grill & Arcade,9RQ_BalRSyr928aobIN1CA,3.0,$$
Alice's Restaurant,g4vf4bYFhvSmkWZn3DMt-g,3.5,$$
Tokyo Express,S3WHEyZlU5tutkUgJoRLxA,3.5,$$
Sam Wo Restaurant,Z_X0WvSmh9DUxBD9xhet9Q,3.5,$
Hotel Utah Saloon,m25TCUvChxm4Bd6dRYDYPQ,3.5,$$
The Posh Bagel,y9yGHZK-m7UF-f3pszcaQg,3.0,$
Starbucks,MW0AEvxfiUzyxhRW9xj_dA,3.0,$
Wok-In Cafeteria,U6MgJvCbdQEyZPkGVbjD7w,4.0,$
Cafe La Taza,7WiKJGM9kPc2WCh0v16Lqw,4.0,$$
Popeyes Louisiana Kitchen,9ECbUL2IBQBGvFzdv4Lvpw,2.5,$
,,,
Pazzia Ristorante Italiano,0LVKwqqzwiUnGtKFo7f6AA,4.0,$$
Zushi Puzzle,u2qFhVAiH3kQIGhEW6PmMA,4.0,$$$
The Vogue Theatre,kwDKGepDbd2TXupL0cSvHg,4.0,
Blackwood,UGKNNQ6bjL-ZttHSdZISfA,4.0,$$
District San Francisco,NZI303NL5iVqOCxZKCfCYQ,4.0,$$
Ziggy's Burgers,Kk72llJNg0Ae85cEOmeSmA,3.5,$$
PPQ Dungeness Island,-4wz0dOG3RdBNYE02l9KjA,4.0,$$
King of Thai Noodle Cafe,1NxcXH7B-8yBp_JrkVkFTw,3.0,$
Waterfront Bakery,T1BuzZTXl9fjT31wbG1GuA,3.5,$
Etcetera Wine Bar,7hi9bFJQyiMDqaW8fcSLDQ,4.0,$$
Stella Pastry & Cafe,Av-PbVkajf1XrgqIS8POSQ,4.0,$
Mela Tandoori Kitchen,6KASBgDLNL7tYGj3Z-I1JQ,4.0,$$
Espetus Brazilian Steak House,ciEDsTWhajcdL3KuJqBRlw,4.0,$$$
Judahlicious,PT_j8Sj6sIScFXo04UpXww,3.5,$$
,,,
Casa Guadalupe 3,Va8bOfqTfxX23nD1jAfz2Q,4.0,$
Gene's Liquor,ovzxwRIDbVfkhn4bnRhNKA,4.5,$
Golden Boy Pizza,PTFxtXS47ZVRCdZIrEWvGw,4.5,$
Sodini's Green Valley Restaurant,iZCSLA7clUGpUFzRnZtQkw,4.0,$$
Streets,uU0SHN__Uavit1ifa49L5g,4.5,$
Craftsman and Wolves,AfqpSxetSUMc63ZPCfbneg,4.0,$$
Ideale,Ws6FGlrk0yxBT7GFpik57g,4.0,$$
The Good Life Grocery,QEUu2F8AFdATwDCpzLu2vA,3.5,$$
My Favorite Cafe,VxT3LXwPdHEz1qpXeI5hig,3.5,$
Cordova Market,rhHX96d7zEOd9eXeQ4jXiw,4.0,$
Yee's Restaurant,__hyW0T_P6Ajlau8xsQW9A,3.5,$
What's Up Dog,2PaACGpLnJhaUQONfoyzrQ,3.5,$
Woerner's Liquors,_Y9yb54sLewh8x0dqX6Y0A,3.5,$$
Chez Panisse,cMyf8e6frO9PIutPvXpjow,4.0,$$$$
Gourmet Delight,NAGwRWEzfGw3X_EIQ1j0mA,3.5,$
The St. Regis San Francisco,Ky5Y1JbytbUvxyIfJZ03EQ,4.5,$$$$
Tung Sing Restaurant,-nIP9n7HTQx9BENjEkzV0w,3.0,$
La Mar Cebichería Peruana,Qbr2JG96K6d31NqqAUxf9g,4.0,$$$
,,,
AK Subs,5UKX9xWwIMRLRdtzkRyZuA,4.0,$$
Oasis Grill,gBRjRvIfA4fIo6pNebTjuA,4.0,$$
,,,
Bob's Donut & Pastry Shop,GXu3PD4IPsxIHpo011aydg,4.5,$
The Francisca Club,WW9gZCtw0aj1ai-KB053tg,5.0,
Kababayan,2ocTtBOx-1TghQrBxFjORg,3.5,$
Citys Choice,chdZtW3cNhdRhH-AwZ8I1g,3.5,$
,,,
Eagle Cafe,RNaJMLxqrRgxFwsCptDHnw,4.0,
Metreon,gzZzxkuMAvHI3jEnhDfEaw,3.5,$$
Mission Hunan Restaurant,NmyTdXzHTSMXX3VKRrERIQ,3.5,$
,,,
È Tutto Qua,F6SOy6-3tP4i-ipACZUS0g,4.0,$$
Niji Japanese Grille,dcnNyiZEsTgD1HWwNe749g,3.0,$
Sushi Umi,AbN47cP3SWvj4uvWnT7pSQ,2.5,$$
Golden Gate Meat Company,D9D7J9dCcMyq5KD4ybzLEA,4.0,$
Fondue Cowboy,I3GNU1b9NCaPbts6art1WQ,4.0,$$
Akiko's Sushi Bar,iIY6k6NnEeUmdmqkn9zJJw,3.5,$$
Nopalito,bBa6-Hhe56m1RH-12IOXMw,4.0,$$
House Of Bagels,g00-FKar6K7uHtIlTa7YGw,3.5,$
Pacific Plaza Cafe,7xHM9hJH0INQhRtqUnTx6g,4.5,$
Norman's Ice Cream & Freezes,sfAIpzEC8ywpy36YhzikmQ,4.5,$
Tyger's,uymg9f_cBIprwMWOqzHGhQ,3.5,$
Don Chuys Mexi-Mercado,BAHj-GU6zIpwJJJErUBheQ,4.5,$
Taqueria La Cumbre,iEbNZymY3kEbPG7wP1i19w,3.0,$$
Bullitt,oUPGpWQEQzAgFjatpLzjQg,3.5,$$
Jewish Community Center of San Francisco - JCCSF,3IsvKxo1sT8xY5qSVaeJ0w,4.0,
Mangia Tutti Ristorante,_mdxYZT1RDtKTZcYz9mo8g,4.0,$$
Pacific Catch,5xp-qHGhzEzXevsSzYrwkg,4.0,$$
Le P'tit Laurent,rlJntikl6JesFV-gb3eQYA,4.0,$$
SOMA Eats,d3i4a1Cijtr_EthmfxbL5w,4.5,$$
Ladle & Leaf,Co_g1tFxnqOVRDmNLCgSvQ,4.0,$$
Soo Fong Restaurant,hdz4Ps4o8CnCH9-svNZllg,3.5,$
The Little Chihuahua,8fM3LMX8Ejr1ytSfK0aGZw,3.5,$$
The Golden West,MKh6d8G53GPFvi7oWY-h1Q,4.0,$
Andy's Local Market,KaH495tE90tKCD3aiRA7EQ,4.5,$$
Dragon River Restaurant,mWIsRlWrFsHFw4fb03HONQ,3.5,$
Horizon Restaurant and Lounge,4PPbzm5zh8li_R6gKifmQg,3.0,$$
Mo's Grill,iFZuhhzJCfq5qQBOV5LWKw,4.0,$$
The Grove Yerba Buena,4_hIVof0Q8dfUBwlREOEGg,3.5,$$
7-Eleven,RRAGptENFdEKokXXc4U4lA,3.0,$
Cafe Bellini,TNf1GhM2UAySh9MG6IxP0Q,2.5,$
Extreme Pizza - Marina District,IsaBDwCNmXw7b3HAtZ7F6Q,3.0,$
Gott's Roadside,qXUzHmPdbGEt5EKSdWqbmg,3.5,$$
Avedano's Holly Park Market,_X3OobCjbcs3S_pnql_PsA,4.5,$$$
Fresco Pizza Shawarma,YP_rvV2YMnM8MTIBV3M8Sw,3.5,$
Dan's Fresh Produce,0MgYnu6RPn9f_5bJSkY7Rw,4.5,$
The Westin St. Francis San Francisco on Union Square,kmkM0EFlpK1HM_Tk4AlZ2w,3.5,$$$
VeganBurg,wfa6U2LrTN_Qt9BurOOykw,4.0,$$
Yank Sing,tWjWAyRbodjg3YPuvdzVdg,3.5,$$
Safeway,TiQjgAjCGTemS-mVi3ZGJQ,1.5,$$
Golden Bear Trading Company,b-ylC7pGKuh4yw6l1Q1k9g,4.5,$$
Butter,SEZpdigGSqVNWnyANNIMeA,4.0,$
Shin Toe Bul Yi,Dy4FqsShb-I6uSiLEOibBw,4.0,$$
La Laguna Taqueria,yjD16DQ2GI1I0c2rmVI8zA,4.0,$
Gary Danko,WavvLdfdP6g8aZTtbBQHTw,4.5,$$$$
Goat Hill Pizza,aoL4l31kJDURPsnpzofDVg,3.5,$$
Miyako Old Fashioned Ice Cream,L3_71hwGHkr38nZ2daksuA,4.5,$
Universal Cafe,DlLsw9bJMJ-YdnrUp2G7mw,4.0,$$
Larry Flynt's Hustler Club,l0VE1ZrQtZNn8TY6P5Y9vQ,3.5,$$
Say Cheese,SdGtfr9n1rgRXxNRMfqxzQ,4.5,$$
Grand Mission Donuts & Bakery,y1_s1xAC7eRK1ws3L92i-Q,4.0,$
Freddie's Sandwiches,yGEc-cj9Quk5mUh7maoPXA,4.5,$
Tads Steak Restaurant,XsOlmp-7Vn-1GBLG6gDGug,3.0,$$
Ladle & Leaf,uLg1IUPsKq4mvW1rZ3nCRg,3.5,
DOSA on Fillmore,U1TgSEKZwgdTftTOxCtFOQ,4.0,$$$
DOSA on Fillmore,U1TgSEKZwgdTftTOxCtFOQ,4.0,$$$
Boudin Bakery & Cafe,HYJm9K4X4G6scmjIOexe3g,3.5,$
Golden Star Vietnamese Restaurant,1pq5mmp71nXWBK_jG9VxHg,3.5,$
Baonecci Ristorante,gtIud2JPu_tW3LMldEOUaw,4.5,$$
Liholiho Yacht Club,KkAVX3Wb7E3lP5F_f_8pXg,4.5,$$$
Shell,jWp4QKqA_iAdQj_cfgKGQA,1.5,
Knight's Catering,yMHYYQqKWb33qLqCfiaBZg,5.0,
The Front Porch,wxzx3duu1c0CcomzEOvfOQ,4.0,$$
Costco Wholesale,RrOeNH7UotFpPXFf2nNrTA,3.5,$$
Union Street Produce Company,d6OZjDtNICvApn-uCULDaA,4.5,$
Taqueria Cancun,MX25jIZ6_Obpwj1BeEBi7A,3.5,$
zpizza,hhBWXLpqkFo3HOCBIrLP9A,4.0,$$
Mrs. Fields Cookies,EmVY7kDVN0mSFOhmOUGjsg,2.5,$
Tommy's Mexican Restaurant,bNzN08w-3OmD3ag9-9gITA,3.5,$$
Subway,Fou0GxqJuQUUO0yAmTH1iw,3.5,$
Blue Danube Coffee House,7zdRSvbg9zbp5tV9Y_-glQ,4.0,$$
Dirty Habit,V5djfyrGoC65ZAmixE0dWg,3.5,$$
,,,
Imperial Palace,cD7OpbJAVpfNF6cBKaoRbw,2.5,$$
Mister Jiu's,p22TPx1EFZcuEzl2qhuzGA,4.0,$$$$
Bechelli's Flower Market Cafe,jgp3WlMySClJ43Zt0bvA2w,3.5,$$
Volcano,WnQoN1uV65vacUj0q1TgoQ,4.0,$
Warakubune Sushi,OZAZSQnvAGeETvoKRSEbuQ,4.0,$$
Hayes Street Grill,EMeAddngUQSn3vG4wX7LeQ,3.0,$$$
Las Palmeras Restaurant,jLKP2lt2ZDEnRhMQ2Yk55Q,3.5,$
McDonald's,df4LSUNnGaiTjmfGoFh31A,2.0,$
,,,
A-1 Cafe & Bakery,sI1-UxoWaZz3CRS8i_h-jQ,3.5,$
Caffe Pazzo,l_wjG88ec7v-FHTyp-k4cQ,3.5,$
Subway,T-AbhZBPzUkpkHbBPmpR4w,3.0,$
Queen Anne Hotel,AHIG8JTWYfSP_acvUUKL-Q,4.0,$$
New Asia Chinese Restaurant,hPdebXu_37ELCtoDaVuU8g,3.0,$$
,,,
Bouche,mfD5wlWS6tY92FJHDcBwJA,4.5,$$$
The Bitter End,H1n4hE8uLFs_W1w-j7M2ow,4.0,$
Bubba Gump Shrimp Co.,5r1Ba_v-KvyYXAuGob6QIw,3.0,$$
Ruth's Chris Steak House,Kxwc8PIKy2JsegNwgBjAtA,4.0,$$$
Nick's Lighthouse,-zbfFXqxIU2tgRju6n9ziw,3.0,$$
Osha Thai Express,Q_5woB2cS0ttc3uV_g3i7w,3.0,$$
Buckhorn Grill,ybbMp_KhN2e1LF_PhwZ4Dg,3.0,$$
Royal Meat Inc,ljoGoTSGUAnVLiAioD1hzg,4.0,
The Station SF,f6PVeKj4VFl9KRJg9SXwIg,4.0,$$
Bullshead Restaurant,jhVo92kIQSPFQTzBaIhP6w,4.0,$$
Arizmendi Bakery,_2_1FQO_DGzeCTky0x9DQA,4.5,$
Split,DEvkAG5rzLxh2RadEBDu6w,3.5,$$
Sabor,d77g3hmKBhcksWR4LKGS_w,4.0,$$
The Citrus Club,b1aZxd5Auo1f5rG9zgr0Ig,3.5,$$
Philz Coffee,eXprR2i_W8UKMmsYYbZFQQ,4.5,$
,,,
Estrella Taqueria,MOCRPxBRD1xj5Jbus1wI-g,2.5,$
Brothers Restaurant,YPX6pxEduWqc_O5htEmTnQ,3.5,$$
Taqueria Castillo B,gLp7o0zddM2bpHHgl3IrTA,3.5,$
La Corneta Taqueria,vt8MHtJs4HNHxXKRk_fuHw,4.0,$
Donut Times,ZV5cPlxIZdNiNZnZLAkvdw,3.5,$$
XOX Truffles,qkHlhvv6DrCkvY54ogcPiA,4.5,$
Kenmore Residence Club,6-M8QJXhNJAK92uJcWHfmg,3.0,$
New Delhi Restaurant,DeKT97qu8tUk0gDcHUFiCQ,3.5,$$
Trader Joe's,gjT45t6fO0A30Way7A2Gzw,4.0,$$
,,,
First Cup,z6DlLVZXBmLz4wKWLQBAGA,4.0,$
Starbucks,N_0oOV4x0niBfrU4-T5hFg,3.5,$
Farm : Table,TcbKvh-e1lxywJuN6in5JQ,4.0,$$
Blue Plate,rxY7canIJeXtICb6lprUcQ,4.0,$$$
Higher Grounds Coffee House,c22FFlw_mGsT1TcgZpOo8w,4.5,$$
Hot Spud,JcyoZPdWdhlsrIVEMdLQ2A,4.5,$$
Julia Morgan Ballroom,sFfiQXWWHcoC9VO3HFobUw,4.5,
S&t Hong Kong Seafood,TR5FbzexqkO0jJ7Sc3MsMA,3.5,$$
111 Minna Gallery,xsG1SSVsm0YdL6-PaoKV_A,3.5,$$
The Sycamore,wNcShx5YTSMvOxt6G0iA9w,4.0,$$
Velvet Cantina,jHCtJJycHt5DLAlPjQ0PoA,4.0,$$
54 Mint - Ristorante Italiano,QajaCa7rYHgaQ5TvZD6M-A,4.0,$$$
Caffe Roma Coffee Roasting,UNOpk-vNBIUpbsn-DwfN6Q,3.0,$$
Chile Lindo Empanadas,mV-p9xEBvkbkoA8wAsAteQ,4.0,$
Pasilla Mexican Grill,HsPRkASZqt7GUgwcNbAz6A,3.5,$
Herlen Place,-drFICAoA4B1Mjh2_Ips0A,3.5,$$
Jolt 'n Bolt,WZED7bVvzaJ7BmcPAb_gWw,4.0,$
The Ice Cream Bar,s3Vi_0iue-hIRJ7O78JzRQ,4.0,$$
Smile BBQ,frKZTOHKDKDkrK5pePByPw,3.5,$
,,,
Gialina Pizzeria,fAaxYP_sc03MV57trhBNPA,4.0,$$
Puerto Alegre,vp1VTH08YSA9O9w6ej-G0A,4.0,$$
Mijita,dY-ukxECnkAiTsQnfYeVuA,2.5,$$
Glaze Teriyaki,rf39v0UmaNk1SZZ9HuZ3hA,4.0,$$
That's It Market,OVx1jiJRVoZg3jDkPvehQg,4.0,$
ENO,JbY2ui85qe5JZ2eRuc6vnQ,4.5,$$
La Copa Loca,Ew12TaYkYC3bkUiJ36gdLg,4.0,$
Wooden Coffeehouse,pDUpsLSoSw08aREqgGjABg,4.0,$$
Crab House at Pier 39,kWrVV4mS-SLy-Ph_DeJSAg,3.5,$$$
Taco Bell,VmSRDVyFcI3HLCo2G6sESg,3.5,$
Casa Thai Market,0orfk_1lbX5AMF_kaRc5Mg,3.5,$
Sushirrito,olURYDOi4ZlLlCV7vVuuCg,3.5,$$
The European,p1c1DhOH4C8scoLlagE5Bg,4.0,$$
Surfside Liquors,1BLIlkAt12C9wJaORMJQtA,5.0,$$
Brenda's French Soul Food,lJAGnYzku5zSaLnQ_T6_GQ,4.0,$$
Udupi Palace,8ZmEszI4ZMncK9kuJYQjuA,4.0,$$
Cool Guys Market,XXdhNG45c37nrU7yzxtVYA,4.0,$
Taqueria Guadalajara,1dwJK21zm7cuhUKdROWJXQ,4.0,$
Yucatasia,elUyTTbvp8kGVBBULrXiwg,4.0,$
Waterfront Restaurant,DeGdhZKXoTnyyFc8GC2BHg,3.0,$$$
Live Sushi Bar,j_YtZXamd5GHfL-BhfkiLQ,4.0,$$
Tan's Cafe III,zTS6HZOibNdhtx7Cjh-7MQ,2.5,$
Golden Gate Bakery,m3xdxV8YNH5uh1N01xdnLA,4.5,$
Cafe Bastille,KRpCCCBwaJBGrkBCVUhW7g,3.5,$$
Ireland's 32,BfmZVBdCHloptGocB003Pg,3.5,$$
King Of Thai Noodle House,udYo3BZ0Y3nR1iOtk58Inw,3.5,$$
Vega,v5zt16ojbtRIU0I7VzqqVA,4.0,$$
Nina's Cafe,z11aO4s7hItCsNEWDhsoTw,3.5,$
Starbucks,mjih0yEQhxnoZU5xxnR21w,3.5,$
Absinthe Brasserie & Bar,353bun0151fMbR3ut2d-nw,4.0,$$$
Lee's Food Market,12PrVsk92I2ZRQ24gXUunA,4.0,$$
Hi Dive,9xcvXbVRlz6oYlNqcnKxZQ,3.5,$$
Oriental Seafood Restaurant,kTLg9WzrJIujIYWKcYBGSw,3.0,$
Holiday Inn Golden Gateway Hotel,nedVe-DuR94YuISPnIWNlQ,3.0,$$
Easy Breezy Frozen Yogurt,2SZWoWsms1k79Ok2PUoM6g,4.0,$
Tak Kee Lee,H3aEQwuDJkschVK-tF-vHQ,3.5,$
Charmaine's,SjbyWubz2uEEop7iEhehxQ,3.5,$$$
Egg White Cafe,Wru8uzgzKEoyJrqIoLnT2w,4.5,$$
Beachside Coffee Bar & Kitchen,fyeTybE7wDkieUwq4urOCA,4.0,$$
Press Club,Fvn-UN7IQvxlfLBpJdbMUA,4.0,$$$
Sweet Passion Bakery,GSyWxUqrzYZ4reusRgR4LA,4.0,$
Restaurant Jeanne D' Arc,gFcSLTJo3HXdkXScg0FgcA,4.0,$$$
Railroad Expresso,N2aC6__-NJ2GmDiUaxHqTg,3.5,$
Kiki Japanese Restaurant,x8KjU6JY64bXo60Tktu4PQ,3.5,$$
Um Ma Son,NcwP3kUy90oadOkRLcGO4w,4.0,$$
