name,id,rating,price,review_rating,review_sentiment
The Mint,iXR55l9-CqiSUoC_78A26Q,3.5,$$,3.6666666666666665,0.1361111111111111
Mel's Drive-In,wGRVry4rZaDsAR39NoOiLA,2.5,$$,3.6666666666666665,0.23055555555555554
Sliders Diner,q9qlhyZVJpyHT0tgEaPxUQ,4.0,$$,4.666666666666667,0.2288095238095238
Mums Home of Shabu Shabu,KNjay-slya3gi7rw13ifOQ,3.5,$$,4.0,0.08214285714285714
Hot Sauce and Panko,NwqdohySKrDnK0RsAde9UA,4.5,$,4.0,0.22202380952380954
Michael Mina,5I3fM8fRdkJdKL-_BJ1qvw,4.0,$$$$,4.333333333333333,0.5334054834054834
Sakesan Sushi & Bistro,LDqA7rQ3fCmPWFymhIXXcQ,4.0,$$,3.3333333333333335,0.42500000000000004
Ming's Diner,iguOSVitkzZ8EIMQcOn8VQ,3.5,$,4.0,0.13444444444444445
Gourmet Dim Sum and Cafe,CgrDoK7B3fXp0Og5eAd30Q,3.5,$,2.3333333333333335,-0.07438271604938272
Gateway Croissant,ILp-z7UxaqzHo71jcwxRUQ,3.5,$,4.0,0.35555555555555557
Casa Mexicana II,hJRjVPxf9pDcgBFeUNyzMg,3.0,$,3.3333333333333335,0.26506470959595957
Roxanne Cafe,BB0YnEFVeYsHwZ7eTzrjeA,3.0,$$,3.6666666666666665,0.11845238095238096
Red House Bakery,M3Qs_xtzTMnWriyxOqqnDg,4.0,$,4.666666666666667,0.21875
Taqueria Guadalajara,1dwJK21zm7cuhUKdROWJXQ,4.0,$,2.3333333333333335,-0.2811111111111111
Marnee Thai,pYk2UZ_AUGWO4s8YFepRHQ,4.0,$$,4.0,0.11203703703703705
Sunset's Best Seafood Restaurant,LFxokisnLXNgVKpM_fJZqA,3.5,$,2.3333333333333335,0.6483333333333333
Taraval Okazu Ya Restaurant,vfK7_QDzzQfzaXf4zOz0fA,3.5,$$,3.6666666666666665,-0.014506172839506176
Sunrise Deli,e02eHaL0toY64Tzodnx8_Q,4.0,$,3.0,-0.10833333333333334
Imperial Garden Seafood Restaurant,DMWoU9-aRw78JTfspcdEeQ,2.5,$$,2.3333333333333335,0.20059523809523808
Green Chile Kitchen,z50O47Al64Y6YrLsVmnjpA,3.5,$$,4.333333333333333,0.14356361231361234
Pasquale's Pizza,VyvrQn7j_YfsxKkFl7T3ww,3.5,$$,3.0,0.28402777777777777
Golden Chariot Bakery & Restaurant,r7hzfE40LUC5xRVpzcLjmA,3.5,$,4.333333333333333,0.4451388888888888
Jade Cafe,-BWzndBhl6FG7oW3F-Zemg,3.0,$,4.666666666666667,0.34253968253968253
Happy Donuts,mk2WW5bA-0WfQP1Uo17_Sg,3.5,$,3.6666666666666665,0.09999999999999999
Wing Hing,hSLhT8Che055WbkweNi-Ug,3.5,$,2.6666666666666665,0.10476190476190476
The Beach Chalet Brewery & Restaurant,ReVmLKOsB1BAp9nQAqPL3Q,3.0,$$,2.3333333333333335,-0.2125
Las Isletas Restaurant,UBSuECrkskseP_rHmx1FQw,3.5,$$,2.3333333333333335,0.17074074074074078
Mikaku Restaurant,LhrP1BZLPxJ76dsP2dFRCQ,3.5,$$,2.3333333333333335,0.23041666666666663
Happy Lounge,RHsfz6dolmufnj82bYu-Jg,4.5,$,5.0,0.6555555555555556
Super Duper Burgers,zjlwTVZOyCU8OzzUPEavQQ,4.0,$$,3.6666666666666665,0.19092592592592594
Burgermeister,A0kFv8s21h1SUFY9CLIR_w,3.5,$$,4.0,0.09722222222222222
Bistro Aix,j1yOqKczaI4czwycWDcspw,4.0,$$,4.333333333333333,0.40888888888888886
Western Addition Branch Library,zwsxryJyp-WPz5uhxRa7lA,4.0,,3.6666666666666665,0.21944444444444444
77 Chinese & Vietnamese Cuisine,YQl-Fre0Btv_Vi04-1d2hQ,3.0,$,3.3333333333333335,0.15981481481481483
Delarosa,QQkroHtwS96-dzMpT4a-DA,4.0,$$,4.666666666666667,0.3429166666666667
WesBurger 'N' More,tjflPf7MTPmSgau-b8CN3A,4.0,$$,4.666666666666667,0.3356481481481482
Cafe Majestic,XdfyFAmoPZ7_doOxRKFCow,3.5,$$,3.6666666666666665,0.12936507936507935
Roma Pizzeria,x1P8FikDw0WU78m-Hipu3w,2.5,$$,1.6666666666666667,-0.1708333333333333
Sunrise Deli,oWxxFD_c5KaRLnjmmmM7oA,3.0,$,2.3333333333333335,-0.24555555555555555
Taqueria Los Coyotes,ZAPitG9126yVupKWHp54yA,3.5,$,4.0,0.12067901234567902
El Burrito Express,uCeCkdHHeaJnU4hGAe2sJQ,3.5,$,4.333333333333333,0.041666666666666664
Whole Foods Market,yQ32-Q3zH1HRZ3E5WAc-oA,3.0,$$$,2.6666666666666665,-0.0013227513227513366
Burger King,OBxT-XXIELsMODqhQn6YsA,2.5,$,3.0,0.07430555555555556
Philz Coffee,akXf1BdFZjQb2fO8Ca7FtA,4.5,$,4.666666666666667,0.3865277777777778
Last Drop Tavern,eQ0wFQTrHrKDUun-v-hpBg,4.0,$$,3.3333333333333335,0.43829966329966324
Picaro,KRcMsXmeILmC8OXmcXOQgA,4.0,$$,3.0,0.6250000000000001
Green Island Restaurant,u-obmxevldBOidDYkL8J6w,3.5,$,4.333333333333333,0.3449206349206349
It's Tops Coffee Shop,yBwejh5N36gw4DOt49t3wg,3.5,$$,3.6666666666666665,0.1976388888888889
Spice Kit,ZvF32O9uid0dMyyQcPeYPg,3.5,$,4.0,0.027777777777777773
Little Henry's,nWmeuZ8g4hhJOrADh7VFHA,3.0,$$,3.0,0.1486111111111111
Red Jade,0w6dNMrpBQFLxhVYqx_J5Q,3.5,$,2.3333333333333335,0.1863095238095238
Murphy's Pub,P1P-ByAIL4OlqlBTzrVlhg,3.0,$$,4.333333333333333,0.3314814814814815
Courtney Produce,QDarzSRtDcvfV00djqCnTw,4.5,$,5.0,0.36349537037037033
Loi's Vietnamese Restaurant,cV3nOiQbq0o9plia9OSXVQ,3.5,$,3.3333333333333335,0.16984126984126982
Grandehos Kamekyo,iMsButW1ZqSssl_a9-UFXA,4.0,$$,3.6666666666666665,0.20222222222222222
Padrecito,2nXYpojLdnIWkFW-Xe7B2A,4.0,$$,3.3333333333333335,0.18694444444444447
Saffron Grill,El1fNeBVBglXlZtFuq4SWA,4.0,$$,4.666666666666667,0.2743524531024531
Balboa Teriyaki,VhFuTau6lW--wfMQJJw1VQ,3.5,$$,3.3333333333333335,0.12147130647130648
Tip Top Tapas,5nS6e75tKoRtLjzkAYBSpA,5.0,,5.0,0.4452910052910053
Tsunami Panhandle,NBdAqG4Kdqy0BrCrWa0xUg,3.5,$$$,4.666666666666667,0.5912037037037038
Sugarcane SF,pwD8tWrKVF_Xd9FnabHB9w,4.0,$,4.666666666666667,0.2946676587301587
Luigi's Pizzeria,DUK4BHniFNUZ4C8K_iXdaw,2.5,$$,2.0,0.21788888888888888
Daily Grill,idI1fL-AsM0nhdIPpHf3sA,3.5,$$,2.0,0.006679894179894175
Dragon Beaux,Su1ay8vJyKsHZKQG_eluaA,4.0,$$,5.0,0.36944444444444446
Lee's Deli,TDZXy8vev4R3uENpkjY3pg,3.0,$,3.3333333333333335,0.2072562358276644
Glide Memorial Church,Y4-nrUHauQcrH74z430v0g,4.5,,4.666666666666667,0.07430555555555554
The Plant Café Organic,rR_7mgpw0FmPgrTMJRsmuQ,3.5,$$,2.6666666666666665,0.1671626984126984
Barney's Gourmet Hamburgers,uCvVetBZHmlVPzVrNmQTnw,3.5,$$,3.0,-0.07461419753086419
New Asia Chinese Restaurant,hPdebXu_37ELCtoDaVuU8g,3.0,$$,3.3333333333333335,0.2705079365079365
85°C Bakery Cafe,1vHIvCblRVD117ghQbyNsQ,3.5,$,2.3333333333333335,0.017900432900432903
VIP Coffee & Cake Shop,xE3LQfzixJfqqQsNt2GTXQ,3.5,$,4.333333333333333,0.07095238095238095
Victor's,kX8rvvC0RxwW_6-C8wHn-Q,3.5,$,4.0,0.09212962962962962
The Little Chihuahua,bNXxYVpi5YvbhVHIi4MLWA,3.5,$$,3.0,0.09347222222222223
Center Cafe,FDpfJsxkExULZt3ipT8hVg,4.5,$,4.333333333333333,0.2054421768707483
Boston Market,SX63MrpvROHn0QLzhvYkyg,3.0,$,4.0,0.32681818181818184
Ajisen Ramen,2WImgWUXjKq0OKhu9hWhOA,3.5,$$,3.3333333333333335,0.24821428571428572
Seniores Pizza,loZXJPwZujUlDE6_wVY7dQ,3.5,$,3.3333333333333335,0.2523015873015873
Benu,q2EbLD93gEO5uXXx7Pk3bw,4.5,$$$$,5.0,0.5834920634920635
Pancho Villa Taqueria,UjjNgzBFAVXF3iVXPVjH_Q,4.0,$,3.0,0.3066137566137566
El Metate Restaurant,2y2lTn53XJCGFh8lkXJ8OA,4.0,$,4.666666666666667,0.26634920634920634
Deli World,mcc6jseW0bDjqDf7JT9JDA,4.0,$,4.0,0.11964285714285715
China Express Deli,ut4SDYWbW8oRRxDXVDuplQ,2.0,$,3.0,-0.037037037037037056
Jamber,UF2y6BusFeZMZsGYUVcAaw,4.0,$$,2.6666666666666665,-0.002777777777777768
Harvest Urban Market,Lyl7fmCru0IAk0vl96KPfg,2.5,$$$,2.3333333333333335,-0.014333333333333328
El Pollo Supremo,cxsx1IG_FKKqORs1f9tfFQ,4.0,$,3.3333333333333335,0.04166666666666668
Rico Pan Bakery Salvadoreno,-rmBT-zlovwbNmEvZKKixA,4.0,$,3.0,0.1484126984126984
Players Sports Grill & Arcade,9RQ_BalRSyr928aobIN1CA,3.0,$$,2.6666666666666665,0.08958333333333335
Alice's Restaurant,g4vf4bYFhvSmkWZn3DMt-g,3.5,$$,3.6666666666666665,0.33944444444444444
Tokyo Express,S3WHEyZlU5tutkUgJoRLxA,3.5,$$,4.0,0.24888888888888894
Sam Wo Restaurant,Z_X0WvSmh9DUxBD9xhet9Q,3.5,$,3.3333333333333335,0.2857323232323232
Hotel Utah Saloon,m25TCUvChxm4Bd6dRYDYPQ,3.5,$$,4.0,0.28165584415584416
The Posh Bagel,y9yGHZK-m7UF-f3pszcaQg,3.0,$,4.0,0.02317460317460317
Starbucks,MW0AEvxfiUzyxhRW9xj_dA,3.0,$,3.0,-0.005555555555555561
Wok-In Cafeteria,U6MgJvCbdQEyZPkGVbjD7w,4.0,$,4.666666666666667,0.41990740740740745
Cafe La Taza,7WiKJGM9kPc2WCh0v16Lqw,4.0,$$,3.6666666666666665,0.0925925925925926
Popeyes Louisiana Kitchen,9ECbUL2IBQBGvFzdv4Lvpw,2.5,$,1.6666666666666667,0.022453703703703698
Pazzia Ristorante Italiano,0LVKwqqzwiUnGtKFo7f6AA,4.0,$$,3.6666666666666665,0.24618055555555554
Zushi Puzzle,u2qFhVAiH3kQIGhEW6PmMA,4.0,$$$,2.6666666666666665,0.23416666666666666
The Vogue Theatre,kwDKGepDbd2TXupL0cSvHg,4.0,,3.3333333333333335,0.2254208754208754
Blackwood,UGKNNQ6bjL-ZttHSdZISfA,4.0,$$,4.333333333333333,0.35535714285714287
District San Francisco,NZI303NL5iVqOCxZKCfCYQ,4.0,$$,2.3333333333333335,0.3178240740740741
Ziggy's Burgers,Kk72llJNg0Ae85cEOmeSmA,3.5,$$,2.6666666666666665,0.049116161616161634
PPQ Dungeness Island,-4wz0dOG3RdBNYE02l9KjA,4.0,$$,4.666666666666667,0.24545454545454545
King of Thai Noodle Cafe,1NxcXH7B-8yBp_JrkVkFTw,3.0,$,3.6666666666666665,0.34737373737373733
Waterfront Bakery,T1BuzZTXl9fjT31wbG1GuA,3.5,$,3.6666666666666665,0.029166666666666674
Etcetera Wine Bar,7hi9bFJQyiMDqaW8fcSLDQ,4.0,$$,5.0,0.35025252525252526
Stella Pastry & Cafe,Av-PbVkajf1XrgqIS8POSQ,4.0,$,4.666666666666667,0.22678571428571428
Mela Tandoori Kitchen,6KASBgDLNL7tYGj3Z-I1JQ,4.0,$$,4.333333333333333,0.33796296296296297
Espetus Brazilian Steak House,ciEDsTWhajcdL3KuJqBRlw,4.0,$$$,3.3333333333333335,0.44226190476190474
Judahlicious,PT_j8Sj6sIScFXo04UpXww,3.5,$$,3.0,0.4416666666666667
Casa Guadalupe 3,Va8bOfqTfxX23nD1jAfz2Q,4.0,$,3.3333333333333335,0.17847222222222223
Gene's Liquor,ovzxwRIDbVfkhn4bnRhNKA,4.5,$,5.0,0.2638888888888889
Golden Boy Pizza,PTFxtXS47ZVRCdZIrEWvGw,4.5,$,4.0,0.253968253968254
Sodini's Green Valley Restaurant,iZCSLA7clUGpUFzRnZtQkw,4.0,$$,4.666666666666667,0.3269444444444444
Streets,uU0SHN__Uavit1ifa49L5g,4.5,$,3.6666666666666665,0.16900000000000004
Craftsman and Wolves,AfqpSxetSUMc63ZPCfbneg,4.0,$$,4.0,0.2585353535353535
Ideale,Ws6FGlrk0yxBT7GFpik57g,4.0,$$,4.666666666666667,0.23875000000000002
The Good Life Grocery,QEUu2F8AFdATwDCpzLu2vA,3.5,$$,3.0,0.01708333333333333
My Favorite Cafe,VxT3LXwPdHEz1qpXeI5hig,3.5,$,4.0,0.3419808201058201
Cordova Market,rhHX96d7zEOd9eXeQ4jXiw,4.0,$,4.333333333333333,0.38425925925925924
Yee's Restaurant,__hyW0T_P6Ajlau8xsQW9A,3.5,$,3.0,0.07896825396825397
What's Up Dog,2PaACGpLnJhaUQONfoyzrQ,3.5,$,3.0,0.21992063492063493
Woerner's Liquors,_Y9yb54sLewh8x0dqX6Y0A,3.5,$$,2.6666666666666665,-0.08
Chez Panisse,cMyf8e6frO9PIutPvXpjow,4.0,$$$$,5.0,0.3305555555555556
Gourmet Delight,NAGwRWEzfGw3X_EIQ1j0mA,3.5,$,2.6666666666666665,0.06657407407407408
The St. Regis San Francisco,Ky5Y1JbytbUvxyIfJZ03EQ,4.5,$$$$,4.333333333333333,0.25472222222222224
Tung Sing Restaurant,-nIP9n7HTQx9BENjEkzV0w,3.0,$,3.3333333333333335,0.07931216931216932
La Mar Cebichería Peruana,Qbr2JG96K6d31NqqAUxf9g,4.0,$$$,4.0,0.4499074074074074
AK Subs,5UKX9xWwIMRLRdtzkRyZuA,4.0,$$,4.666666666666667,0.6166666666666667
Oasis Grill,gBRjRvIfA4fIo6pNebTjuA,4.0,$$,4.333333333333333,0.37634259259259256
Bob's Donut & Pastry Shop,GXu3PD4IPsxIHpo011aydg,4.5,$,4.0,0.1463095238095238
The Francisca Club,WW9gZCtw0aj1ai-KB053tg,5.0,,5.0,0.27685185185185185
Kababayan,2ocTtBOx-1TghQrBxFjORg,3.5,$,4.0,0.3717361111111111
Citys Choice,chdZtW3cNhdRhH-AwZ8I1g,3.5,$,2.6666666666666665,-0.040046296296296295
Eagle Cafe,RNaJMLxqrRgxFwsCptDHnw,4.0,,4.666666666666667,0.46230158730158727
Metreon,gzZzxkuMAvHI3jEnhDfEaw,3.5,$$,3.3333333333333335,-0.03555555555555556
Mission Hunan Restaurant,NmyTdXzHTSMXX3VKRrERIQ,3.5,$,4.0,-0.09037698412698414
È Tutto Qua,F6SOy6-3tP4i-ipACZUS0g,4.0,$$,4.666666666666667,0.3922398589065255
Niji Japanese Grille,dcnNyiZEsTgD1HWwNe749g,3.0,$,3.6666666666666665,-0.11833333333333335
Sushi Umi,AbN47cP3SWvj4uvWnT7pSQ,2.5,$$,3.6666666666666665,0.08690476190476189
Golden Gate Meat Company,D9D7J9dCcMyq5KD4ybzLEA,4.0,$,4.0,0.28680555555555554
Fondue Cowboy,I3GNU1b9NCaPbts6art1WQ,4.0,$$,4.333333333333333,0.1267939814814815
Akiko's Sushi Bar,iIY6k6NnEeUmdmqkn9zJJw,3.5,$$,3.0,0.2408730158730159
Nopalito,bBa6-Hhe56m1RH-12IOXMw,4.0,$$,4.0,0.11694805194805195
House Of Bagels,g00-FKar6K7uHtIlTa7YGw,3.5,$,3.0,-0.08685185185185185
Pacific Plaza Cafe,7xHM9hJH0INQhRtqUnTx6g,4.5,$,4.666666666666667,0.48809523809523814
Norman's Ice Cream & Freezes,sfAIpzEC8ywpy36YhzikmQ,4.5,$,4.666666666666667,0.1756944444444444
Tyger's,uymg9f_cBIprwMWOqzHGhQ,3.5,$,4.333333333333333,0.29078703703703707
Don Chuys Mexi-Mercado,BAHj-GU6zIpwJJJErUBheQ,4.5,$,4.666666666666667,0.4597222222222222
Taqueria La Cumbre,iEbNZymY3kEbPG7wP1i19w,3.0,$$,3.0,0.014753086419753083
Bullitt,oUPGpWQEQzAgFjatpLzjQg,3.5,$$,3.0,0.1668518518518519
Jewish Community Center of San Francisco - JCCSF,3IsvKxo1sT8xY5qSVaeJ0w,4.0,,3.3333333333333335,0.12481481481481481
Mangia Tutti Ristorante,_mdxYZT1RDtKTZcYz9mo8g,4.0,$$,4.0,0.14911816578483245
Pacific Catch,5xp-qHGhzEzXevsSzYrwkg,4.0,$$,4.666666666666667,0.16284722222222223
Le P'tit Laurent,rlJntikl6JesFV-gb3eQYA,4.0,$$,3.0,0.22323232323232323
SOMA Eats,d3i4a1Cijtr_EthmfxbL5w,4.5,$$,4.666666666666667,0.43381593714927047
Ladle & Leaf,Co_g1tFxnqOVRDmNLCgSvQ,4.0,$$,2.0,0.08452380952380956
Soo Fong Restaurant,hdz4Ps4o8CnCH9-svNZllg,3.5,$,3.3333333333333335,0.32723484848484846
The Little Chihuahua,8fM3LMX8Ejr1ytSfK0aGZw,3.5,$$,3.6666666666666665,-0.1298809523809524
The Golden West,MKh6d8G53GPFvi7oWY-h1Q,4.0,$,4.333333333333333,0.25223214285714285
Andy's Local Market,KaH495tE90tKCD3aiRA7EQ,4.5,$$,4.666666666666667,0.3079817708333334
Dragon River Restaurant,mWIsRlWrFsHFw4fb03HONQ,3.5,$,4.0,0.021296296296296296
Horizon Restaurant and Lounge,4PPbzm5zh8li_R6gKifmQg,3.0,$$,2.3333333333333335,0.19027777777777777
Mo's Grill,iFZuhhzJCfq5qQBOV5LWKw,4.0,$$,4.333333333333333,0.8291666666666666
The Grove Yerba Buena,4_hIVof0Q8dfUBwlREOEGg,3.5,$$,3.6666666666666665,0.049603174603174593
7-Eleven,RRAGptENFdEKokXXc4U4lA,3.0,$,4.0,0.08472222222222221
Cafe Bellini,TNf1GhM2UAySh9MG6IxP0Q,2.5,$,4.0,0.1706349206349206
Extreme Pizza - Marina District,IsaBDwCNmXw7b3HAtZ7F6Q,3.0,$,3.6666666666666665,0.2338888888888889
Gott's Roadside,qXUzHmPdbGEt5EKSdWqbmg,3.5,$$,2.6666666666666665,0.03819444444444444
Avedano's Holly Park Market,_X3OobCjbcs3S_pnql_PsA,4.5,$$$,4.666666666666667,0.3625
Fresco Pizza Shawarma,YP_rvV2YMnM8MTIBV3M8Sw,3.5,$,2.6666666666666665,-0.16967592592592592
Dan's Fresh Produce,0MgYnu6RPn9f_5bJSkY7Rw,4.5,$,5.0,0.2816666666666667
The Westin St. Francis San Francisco on Union Square,kmkM0EFlpK1HM_Tk4AlZ2w,3.5,$$$,5.0,0.41944444444444445
VeganBurg,wfa6U2LrTN_Qt9BurOOykw,4.0,$$,5.0,0.4981481481481482
Yank Sing,tWjWAyRbodjg3YPuvdzVdg,3.5,$$,3.0,0.2722222222222222
Safeway,TiQjgAjCGTemS-mVi3ZGJQ,1.5,$$,1.3333333333333333,-0.0762820512820513
Golden Bear Trading Company,b-ylC7pGKuh4yw6l1Q1k9g,4.5,$$,4.333333333333333,0.24444444444444444
Butter,SEZpdigGSqVNWnyANNIMeA,4.0,$,4.666666666666667,0.48888888888888893
Shin Toe Bul Yi,Dy4FqsShb-I6uSiLEOibBw,4.0,$$,3.6666666666666665,0.07304232804232803
La Laguna Taqueria,yjD16DQ2GI1I0c2rmVI8zA,4.0,$,4.0,0.20000000000000004
Gary Danko,WavvLdfdP6g8aZTtbBQHTw,4.5,$$$$,4.666666666666667,0.2478835978835979
Goat Hill Pizza,aoL4l31kJDURPsnpzofDVg,3.5,$$,3.6666666666666665,0.15321428571428572
Miyako Old Fashioned Ice Cream,L3_71hwGHkr38nZ2daksuA,4.5,$,4.666666666666667,0.5166666666666667
Universal Cafe,DlLsw9bJMJ-YdnrUp2G7mw,4.0,$$,4.0,0.3986111111111111
Larry Flynt's Hustler Club,l0VE1ZrQtZNn8TY6P5Y9vQ,3.5,$$,3.3333333333333335,0.2163333333333333
Say Cheese,SdGtfr9n1rgRXxNRMfqxzQ,4.5,$$,4.666666666666667,0.3445075757575758
Grand Mission Donuts & Bakery,y1_s1xAC7eRK1ws3L92i-Q,4.0,$,4.666666666666667,0.3833333333333333
Freddie's Sandwiches,yGEc-cj9Quk5mUh7maoPXA,4.5,$,4.666666666666667,0.2623015873015873
Tads Steak Restaurant,XsOlmp-7Vn-1GBLG6gDGug,3.0,$$,3.0,0.17694444444444443
Ladle & Leaf,uLg1IUPsKq4mvW1rZ3nCRg,3.5,,2.3333333333333335,0.0
DOSA on Fillmore,U1TgSEKZwgdTftTOxCtFOQ,4.0,$$$,3.3333333333333335,0.2902777777777778
DOSA on Fillmore,U1TgSEKZwgdTftTOxCtFOQ,4.0,$$$,3.3333333333333335,0.2902777777777778
Boudin Bakery & Cafe,HYJm9K4X4G6scmjIOexe3g,3.5,$,4.0,0.3277777777777778
Golden Star Vietnamese Restaurant,1pq5mmp71nXWBK_jG9VxHg,3.5,$,4.666666666666667,0.4906250000000001
Baonecci Ristorante,gtIud2JPu_tW3LMldEOUaw,4.5,$$,4.666666666666667,0.41875
Liholiho Yacht Club,KkAVX3Wb7E3lP5F_f_8pXg,4.5,$$$,4.333333333333333,0.3125
Shell,jWp4QKqA_iAdQj_cfgKGQA,1.5,,1.0,-0.3180555555555556
Knight's Catering,yMHYYQqKWb33qLqCfiaBZg,5.0,,5.0,0.49722222222222223
The Front Porch,wxzx3duu1c0CcomzEOvfOQ,4.0,$$,4.666666666666667,0.3361111111111111
Costco Wholesale,RrOeNH7UotFpPXFf2nNrTA,3.5,$$,3.0,0.3263888888888889
Union Street Produce Company,d6OZjDtNICvApn-uCULDaA,4.5,$,4.666666666666667,0.09531746031746031
Taqueria Cancun,MX25jIZ6_Obpwj1BeEBi7A,3.5,$,3.6666666666666665,0.18000000000000002
zpizza,hhBWXLpqkFo3HOCBIrLP9A,4.0,$$,3.3333333333333335,0.23191666666666666
Mrs. Fields Cookies,EmVY7kDVN0mSFOhmOUGjsg,2.5,$,3.6666666666666665,0.15833333333333335
Tommy's Mexican Restaurant,bNzN08w-3OmD3ag9-9gITA,3.5,$$,4.333333333333333,0.3069444444444444
Subway,Fou0GxqJuQUUO0yAmTH1iw,3.5,$,2.6666666666666665,-0.0022727272727272713
